Date,Time,Location,Description
3/2/2018,1,2304 Ivy Road,ASSIST AGENCY
3/2/2018,1702,400 Brandon Avenue,ASSIST CITIZEN/MENTAL
3/4/2018,537,1215 Lee Street,LOST PROPERTY
3/6/2018,446,1215 Lee Street,FOUND PROPERTY
3/6/2018,1009,505 Edgemont Road,HAZMAT INVESTIGATION
3/6/2018,1145,211 Emmett Street,FOUND PROPERTY
3/7/2018,803,117 East 11th Street,MOTOR VEHICLE THEFT
3/7/2018,827,1101 Millmont Street,SUSPICIOUS ENVELOPE
3/7/2018,1145,Lane Road/ East Loading Dock,ACCIDENT
3/7/2018,1849,1215 Lee Street,SIMPLE ASSAULT
3/7/2018,1905,105 Emmet Street,DRUG VIOLATION
3/8/2018,1032,1215 Lee Street,SIMPLE ASSAULT
3/8/2018,1047,1215 Lee Street,ASSIST AGENCY
3/8/2018,1415,Green Alley,PROPERTY DAMAGE
3/9/2018,2203,1215 Lee Street,FOUND PROPERTY
3/9/2018,2319,1215 Lee Street,FOUND PROPERTY
3/10/2018,139,1517 University Ave,ASSIST CITIZEN/UNDERAGE POSSESSION
3/10/2018,1003,1215 Lee Street,ASSIST AGENCY
3/11/2018,359,100 Culbreth Road,TRAFFIC ACCIDENT
3/11/2018,604,1215 Lee Street,FOUND PROPERTY
3/11/2018,1916,1210 Lee Street,HIT AND RUN
3/12/2018,1909,450 McCormick Road,WIRE FRAUD
3/13/2018,356,203 Sprigg Lane,ASSIST CITIZEN
356,RPT:,1210 Lee Street,VEHICLE TAMPERING
3/13/2018,907,600 Massie Road,FALSE ALARM
3/13/2018,1234,1215 Lee Street,ASSIST AGENCY
3/13/2018,1452,123 Emmet Street North,LARCENY
3/13/2018,1608,248 McCormick Road,CONTROVERSIAL FLIERS
3/13/2018,2032,1215 Lee Street,ASSIST AGENCY
3/14/2018,1410,1215 Lee Street,ASSIST AGENCY
1/6/2018,233,Dunnington Dorm,FORCIBLE FONDLING
3/14/2018,1934,300 Massie Road,MOTOR VEHICLE THEFT
3/14/2018,2032,225 Hereford Drive,DRUGS/NARCOTICS VIOLATION
3/15/2018,1105,300 Massie Road,VEHICLE ACCIDENT
3/15/2018,1412,180 McCormick Road,FOUND PROPERTY
3/15/2018,1631,90 Darden Blvd,VEHICLE ACCIDENT
3/15/2018,1640,1215 Lee Street,ASSIST CITIZEN
3/15/2018,1735,235 McCormick Road,STALKING
3/15/2018,2028,1215 Lee Street,ASSIST AGENCY
3/16/2018,256,1826 University Avenue,FOUND PROPERTY
3/16/2018,933,21215 Lee Street,SUSPICIOUS PERSON
3/16/2018,1909,1215 Lee Street,ASSIST AGENCY
3/16/2018,2007,1221 Lee Street,DIP
3/17/2018,43,420 McCormick Road,ASSIST CITIZEN
3/17/2018,47,1215 Lee Street,ASSIST CITIZEN
3/17/2018,159,1826 University Avenue,ASSIST CITIZEN
3/17/2018,209,2304 Ivy Road,SUSPICIOUS INSTAGRAM POST
3/17/2018,1942,1215 Lee Street,ASSIST AGENCY
3/17/2018,2005,1210 Lee Street,DRUNK IN PUBLIC
3/17/2018,2248,1826 University Avenue,FOUND PROPERTY
3/17/2018,2255,565 McCormick Road,MEDICAL ASSIST/UNDERAGE POSS
3/17/2018,2318,35 Hancock Drive,WELFARE CHECK
3/18/2018,1721,2304 Ivy Road,SAFEKEEPING
3/18/2018,2047,478 Floyd Drive,LOST PROPERTY
3/18/2018,2146,117 11th Street,FOUND PROPERTY
3/18/2018,2253,55 Lambeth Commons,LOST PROPERTY
3/19/2018,1008,30 South Lawn,ASSIST CITIZEN/MEDICAL
3/19/2018,1834,2304 Ivy Road,ASSIST AGENCY
